Country/City,1-Bed Price (USD),2-Bed Price (USD),3-Bed Price (USD)
"Andorra, Andorra la Vella",336400,539400,869999
"Argentina, Buenos Aires",102000,155000,275000
Aruba,349000,489000,570000
"Australia, Sydney",428000,688000,1235000
"Austria, Vienna",377000,578840,916399
"Bahamas, Nassau",450000,550000,925000
"Belgium, Brussels",260999,348000,538240
"Bosnia and H., Sarajevo",110199,148480,200680
"Brazil, Sao Paulo",128000,208000,345000
"Bulgaria, Sofia",196040,345680,530120
"Cambodia, Phnom Penh",100000,230000,354000
"Canada, Toronto",352000,378000,507000
"Cayman Islands, Grand Cayman",551000,787000,1981000
"Chile, Santiago",83000,117000,147000
"Colombia, Medellin",156000,156000,199000
"Costa Rica, San Jose",164000,214000,315000
"Croatia, Zagreb",185600,249399,319000
"Cyprus, Nicosia",162400,266800,392080
"Czech Republic, Prague",389760,429199,670480
"Denmark, Copenhagen",667000,1047479,1474360
"Dominican Republic, Santo Domingo",166000,215000,335000
"Egypt, Cairo",108000,141000,151000
"Finland, Helsinki",295800,406000,544040
"France, Paris",513879,810840,1205240
"Georgia, Tbilisi",77720,113679,163560
"Germany, Berlin",381640,613640,985999
"Greece, Athens",149640,229679,324800
"Hong Kong, Hong Kong Island",782000,936000,1578000
"Hungary, Budapest",221559,295800,423399
"Iceland, Reykjavik",593920,733120,815480
"India, Mumbai",122000,224000,398000
"Indonesia, Jakarta",46000,59000,173000
"Ireland, Dublin",342200,446599,574200
"Israel, Tel Aviv",928000,1272000,1706000
"Italy, Milan",359600,527800,800400
"Japan, Tokyo",296000,414000,442000
"Kazakhstan, Astana",65000,98000,166000
"Latvia, Riga",141520,207640,295800
"Lithuania, Vilnius",214599,290000,406000
"Luxembourg, City",719200,1079960,1546280
Macau,537000,1018000,1139000
"Malaysia, Kuala Lumpur",179000,169000,136000
Mauritius,222000,402000,598000
"Mexico, Mexico City",227000,301000,596000
"Moldova, Chisinau",91640,138040,172840
Monaco,4059999,6728000,12992000
"Mongolia, Ulaanbaatar",53000,89000,162000
"Montenegro, Podgorica",113679,169360,242439
"Morocco, Casablanca",130000,217000,304000
"Netherlands, Amsterdam",463999,638000,800400
"New Zealand, Auckland",276000,380000,674000
"North Macedonia, Skopje",56839,74240,95120
"Norway, Oslo",400200,564920,873479
"Pakistan, Islamabad",31000,69000,93000
"Panama, Panama City",,235000,395000
"Peru, Lima",120000,158000,207000
"Philippines, Manila",92000,124000,314000
"Poland, Warsaw",201840,257519,360760
"Portugal, Lisbon",481399,684400,841000
"Puerto Rico, San Juan",465000,693000,895000
"Qatar, Doha",434000,602000,852000
"Russia, Moscow",178000,258000,388000
"Saudi Arabia, Riyadh",219000,232000,240000
"Serbia, Belgrade",162400,216919,290000
Singapore,950000,1439000,2330000
"Slovakia, Bratislava",296960,377000,555640
"Slovenia, Ljubljana",342200,452399,693680
"South Africa, Cape Town",,111000,278000
"Spain, Madrid",371200,492999,690200
"Sweden, Stockholm",310880,389760,615960
"Switzerland, Zurich",1588040,1749279,1811919
"Taiwan, Taipei",701000,932000,1064000
"Thailand, Bangkok",122000,323000,878000
"Tunisia, Tunis",69000,83000,145000
"Turkey, Istanbul",79000,97000,145000
"Ukraine, Kyiv",98600,139200,283040
"United Arab Emirates, Dubai",349000,599000,1066000
"United Kingdom, London",607840,893199,1263240
"United States, New York",863000,1177000,2250000
"Uruguay, Montevideo",158000,216000,321000
"Vietnam, Hanoi",104000,161000,264000
